epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6792,3.58069,12.3839,4.24811,0.0024,0.15217,0.00289,0.00088,3.58737,13.0311,4.15642,7.5e-05,7.5e-05,7.5e-05
2,165.478,3.69842,12.221,4.22684,0.0024,0.15217,0.00493,0.0013,3.58464,13.025,4.15226,0.000159282,0.000159282,0.000159282
3,241.836,3.62535,11.9505,4.1915,0.00233,0.15217,0.00451,0.00116,3.58139,13.0134,4.14686,0.0002401,0.0002401,0.0002401
4,316.907,3.59304,11.7496,4.17465,0.00237,0.15217,0.00763,0.00197,3.57711,13.0011,4.14086,0.000317452,0.000317452,0.000317452
5,390.778,3.55748,11.5776,4.11401,0.00237,0.15217,0.00801,0.00218,3.56759,12.9823,4.12886,0.00039134,0.00039134,0.00039134
6,466.75,3.47052,11.0628,4.06374,0.00236,0.15217,0.00711,0.00186,3.55803,12.9756,4.11721,0.000461763,0.000461763,0.000461763
7,542.562,3.40551,11.1497,4.00512,0.0024,0.15217,0.01141,0.00324,3.5435,12.9901,4.10101,0.00052872,0.00052872,0.00052872
8,618.832,3.58365,10.7261,3.91734,0.00232,0.15217,0.00963,0.00261,3.53327,12.9628,4.09118,0.000592213,0.000592213,0.000592213
9,694.695,3.43483,10.3126,3.859,0.0023,0.15217,0.03372,0.00746,3.56245,12.9602,4.11961,0.00065224,0.00065224,0.00065224
10,773.033,3.44282,10.2338,3.82248,0.00241,0.15217,0.02987,0.00777,3.61662,12.8741,4.14731,0.000708803,0.000708803,0.000708803
11,854.023,3.35962,9.98521,3.71882,0.00238,0.15217,0.03089,0.00604,3.62138,12.8925,4.16574,0.0007619,0.0007619,0.0007619
12,923.527,3.30857,9.87295,3.63319,0,0,0,0,3.89675,13.8528,4.4247,0.000811533,0.000811533,0.000811533
13,993.083,3.21207,9.93267,3.59141,0.00258,0.02174,0.00364,0.00036,3.87501,13.6709,4.3884,0.0008577,0.0008577,0.0008577
14,1062.29,3.20531,9.49662,3.55139,0.00741,0.13043,0.0066,0.00178,3.76656,13.2279,4.2696,0.000900402,0.000900402,0.000900402
15,1132.86,3.13622,9.45644,3.50712,0.00545,0.06522,0.00382,0.00105,3.83739,13.3214,4.36338,0.0009035,0.0009035,0.0009035
16,1203.79,3.20564,9.33587,3.48941,0.0062,0.17391,0.00753,0.00231,3.72032,12.5417,4.12285,0.00087875,0.00087875,0.00087875
17,1273.51,3.06238,9.39008,3.43157,0.00685,0.13673,0.00626,0.00223,3.75456,12.9116,4.27519,0.000854,0.000854,0.000854
18,1345.86,3.15552,9.13547,3.37552,0.76642,0.01087,0.00695,0.00186,3.4262,11.955,3.90814,0.00082925,0.00082925,0.00082925
