epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.512,1.86549,2.63871,1.3508,0.92379,0.2653,0.61789,0.33583,1.51836,2.74231,1.07409,0.000361721,0.000361721,0.000361721
2,850.683,1.6615,1.24921,1.14664,0.90459,0.58068,0.88737,0.44821,1.64922,1.75143,1.07008,0.000683739,0.000683739,0.000683739
3,1273.92,1.5509,1.12239,1.12183,0.78996,0.80054,0.8588,0.40441,1.79999,1.44685,1.13633,0.000956872,0.000956872,0.000956872
4,1696.39,1.53797,1.05089,1.11927,0.83532,0.88524,0.92298,0.49379,1.53308,1.01335,1.05352,0.000891022,0.000891022,0.000891022
5,2121.42,1.51352,1.00097,1.10476,0.85998,0.87352,0.91778,0.47265,1.62838,1.01892,1.06724,0.000817696,0.000817696,0.000817696
6,2547.87,1.49297,0.99283,1.10243,0.87472,0.89422,0.94096,0.54789,1.36177,0.9494,1.02086,0.00074437,0.00074437,0.00074437
7,2957.64,1.46767,0.93901,1.09571,0.87437,0.90449,0.94417,0.52541,1.4429,0.88137,1.03102,0.000671044,0.000671044,0.000671044
8,3364.04,1.45897,0.91043,1.08023,0.86833,0.90857,0.94068,0.52046,1.48856,0.8819,1.03193,0.000597718,0.000597718,0.000597718
9,3771.95,1.42924,0.86347,1.06764,0.89463,0.9067,0.94218,0.51267,1.5201,0.83014,1.04198,0.000524392,0.000524392,0.000524392
10,4179.96,1.418,0.83331,1.07153,0.88729,0.91196,0.944,0.52664,1.48575,0.81497,1.02596,0.000451066,0.000451066,0.000451066
11,4584.2,1.40105,0.8112,1.06514,0.90965,0.90401,0.95259,0.56101,1.38846,0.77821,1.00097,0.00037774,0.00037774,0.00037774
12,4989.67,1.38217,0.78876,1.05749,0.89267,0.9234,0.95307,0.54642,1.41439,0.77231,1.00702,0.000304414,0.000304414,0.000304414
13,5395.58,1.34373,0.76944,1.0407,0.88993,0.91941,0.94704,0.5551,1.40674,0.7695,1.00917,0.000231088,0.000231088,0.000231088
14,5800.87,1.34272,0.75139,1.03498,0.89507,0.92723,0.95103,0.56796,1.34702,0.75027,0.99388,0.000157762,0.000157762,0.000157762
15,6209.02,1.31692,0.74127,1.03687,0.88921,0.93355,0.94756,0.54602,1.4306,0.75166,1.00779,8.4436e-05,8.4436e-05,8.4436e-05
